Name,Disaster.type,Year,Month,Day,Total.CPIAdjusted.Cost.in.Billions,Deaths
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015,5,23,3.126,31
Central and Northeast Severe Weather (June 2015),Severe Storm,2015,6,21,1.430,1
South Carolina and East Coast Flooding (October 2015),Flooding,2015,10,1,2.458,25
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015,6,1,3.694,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015,12,26,2.433,50
Western Drought (2015),Drought,2015,1,1,5.583,0
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016,2,22,1.279,10
Texas and Louisiana Flooding (March 2016),Flooding,2016,3,8,2.823,5
Southern Severe Weather (March 2016),Severe Storm,2016,3,17,1.489,1
North Texas Hail Storm (March 2016),Severe Storm,2016,3,23,2.540,0
North/Central Texas Hail Storm (April 2016),Severe Storm,2016,4,10,4.268,0
Houston Flooding (April 2016),Flooding,2016,4,17,3.292,8
South/Southeast Tornadoes (April 2016),Severe Storm,2016,4,26,2.921,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016,5,8,2.098,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016,5,21,1.398,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016,6,22,1.192,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016,7,28,1.773,0
Louisiana Flooding (August 2016),Flooding,2016,8,12,12.300,13
Hurricane Matthew (October 2016),Tropical Cyclone,2016,10,8,12.100,49
West/Northeast/Southeast Drought (2016),Drought,2016,1,1,4.236,0
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016,6,1,2.898,21
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017,1,20,1.326,24
California Flooding (February 2017),Flooding,2017,2,8,1.800,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017,2,28,2.167,6
Midwest Tornado Outbreak (March 2017),Severe Storm,2017,3,6,2.611,2
Southeast Freeze (March 2017),Freeze,2017,3,14,1.200,0
South/Southeast Severe Weather (March 2017),Severe Storm,2017,3,26,3.234,0
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017,4,4,1.171,1
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017,4,25,1.991,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017,5,8,3.987,0
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017,5,15,1.120,1
