Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
2000-01,Matt Maloney,PG,29,ATL,55,1403,10.4,0.508,0.408,0.098,1.1,8.2,4.6,17.6,2.1,0.3,16.2,13.8,0.7,0.8,1.5,0.053,-1.4,0.5,-0.9,0.4,malonma01
2000-01,Danny Manning,PF,34,UTA,82,1305,14.3,0.537,0.056,0.28,6.4,13.8,10.2,12.6,1.9,1.8,14.6,23.2,1.2,1.4,2.6,0.097,-1.2,0.1,-1.1,0.3,mannida01
2000-01,Stephon Marbury,PG,23,NJN,67,2557,22.7,0.54,0.262,0.359,2.3,7,4.6,40.8,1.6,0.1,11.8,29.7,7.2,0.7,7.8,0.147,5.9,-1.6,4.3,4.1,marbust01
2000-01,Shawn Marion,SF,22,PHO,79,2857,21,0.532,0.071,0.249,8.6,25.4,16.8,10.2,2.4,2.7,9.1,22.1,5.3,6.4,11.7,0.196,2.3,1.8,4.1,4.4,mariosh01
2000-01,Donyell Marshall,SF,27,UTA,81,2326,19.9,0.568,0.151,0.322,9.4,20.6,15.1,10.1,2,2.7,11.7,21.7,5.1,3.3,8.5,0.174,3.2,0.6,3.7,3.4,marshdo01
2000-01,Darrick Martin,PG,29,SAC,31,176,17,0.563,0.355,0.461,1.3,8.3,4.9,12.9,2,0,9.9,25.4,0.5,0.2,0.7,0.182,-0.4,-0.4,-0.8,0,martida01
2000-01,Kenyon Martin,PF,23,NJN,68,2272,13.4,0.472,0.014,0.247,6.7,19,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044,-2.1,0.4,-1.7,0.2,martike01
2000-01,Jamal Mashburn,SF,28,CHH,76,2989,17.5,0.493,0.208,0.262,3.5,18.4,11,26.8,1.5,0.3,12,27.1,3.1,4.2,7.3,0.118,2.1,0,2.1,3.1,mashbja01
2000-01,Anthony Mason,PF,34,MIA,80,3254,17.4,0.555,0,0.497,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20,6,5.6,11.6,0.171,0.8,1.1,1.9,3.2,masonan01
2000-01,Desmond Mason,SF,23,SEA,78,1522,10.5,0.483,0.153,0.207,5.5,13.3,9.4,6.5,1.3,1,10,15.8,1,0.8,1.7,0.055,-1.8,-1,-2.8,-0.3,masonde01
2000-01,Tony Massenburg,PF,33,VAN,52,823,9.6,0.507,0,0.352,10.5,18.6,14.6,1.8,0.6,2.4,17.3,15.4,0.1,0.6,0.7,0.041,-4.5,-1.3,-5.9,-0.8,masseto01
2000-01,Vernon Maxwell,PG,35,TOT,43,660,6.7,0.424,0.498,0.143,0.7,10.3,5.6,11.6,1.7,0.3,12.9,18.7,-0.6,0.7,0,0.003,-3.5,0.1,-3.3,-0.2,maxweve01
2000-01,Vernon Maxwell,PG,35,PHI,24,375,8.1,0.446,0.512,0.176,0.9,10,5.6,12.5,1.7,0,11.8,18.4,-0.1,0.4,0.4,0.046,-2.3,0.5,-1.8,0,maxweve01
2000-01,Vernon Maxwell,PG,35,DAL,19,285,4.9,0.396,0.48,0.102,0.4,10.7,5.7,10.5,1.6,0.8,14.2,19,-0.6,0.2,-0.3,-0.052,-5,-0.3,-5.3,-0.2,maxweve01
2000-01,Walter McCarty,PF,26,BOS,60,478,9.2,0.474,0.444,0.222,5.6,14.5,9.9,13.5,1.5,1.1,12.6,15,0.3,0.4,0.7,0.067,-2.8,-0.4,-3.2,-0.1,mccarwa01
2000-01,Dan McClintock,C,23,DEN,6,58,9.9,0.446,0,0.278,18.5,13.3,15.9,2.9,0,2.4,12.9,17.8,0,0,0,0.007,-4.6,-3.3,-7.9,-0.1,mcclida01
2000-01,George McCloud,SF,33,DEN,76,2007,12.9,0.496,0.357,0.276,2.9,9.3,6.1,22.1,1.4,0.9,13.7,18.9,2,0.6,2.6,0.062,-0.2,-0.8,-1,0.5,mccloge01
2000-01,Jelani McCoy,C,23,SEA,70,1143,11.1,0.52,0,0.352,9.3,15.9,12.6,7.7,0.8,3.1,19.7,15,0.3,0.8,1.1,0.045,-2.7,-0.4,-3.1,-0.3,mccoyje01
