,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
2947,2947,Ghost dad,1990,83,Comedy,PG-13,4.4,Sidney Poitier,Bill Cosby|Kimberly Russell|Denise Nicholas|Ian Bannen,24707633,7130
2948,2948,Ghost Dog el camino del samurái,1999,116,Action,PG-13,7.5,Jim Jarmusch,Forest Whitaker|Henry Silva|John Tormey|Cliff Gorman,3308029,80715
2949,2949,Ghost Rider: El motorista fantasma,2007,114,Action,PG-13,5.2,Mark Steven Johnson,Nicolas Cage|Eva Mendes|Sam Elliott|Matt Long,115802596,212937
2950,2950,Ghost Rider: Espíritu de venganza,2011,96,Action,PG,4.3,Mark Neveldine,Brian Taylor|Nicolas Cage|Ciarán Hinds|Idris Elba|Violante Placido,51774002,105557
2951,2951,Ghost Ship (Barco Fantasma),2002,91,Horror,R,5.5,Steve Beck,Julianna Margulies|Gabriel Byrne|Ron Eldard|Desmond Harrington,30113491,89208
2952,2952,Historia macabra,1981,110,Drama,R,6.3,John Irvin,Craig Wasson|Alice Krige|Fred Astaire|John Houseman,23371905,7008
2953,2953,Me ha caído el muerto,2008,102,Comedy,PG,6.7,David Koepp,Ricky Gervais|Greg Kinnear|Téa Leoni|Jordan Carlos,13214030,66678
2954,2954,Ghost World,2001,111,Comedy,PG-13,7.3,Terry Zwigoff,Steve Buscemi|Thora Birch|Scarlett Johansson|Brad Renfro,6217849,108247
2955,2955,El chip asesino,1993,95,Horror,PG,4.5,Rachel Talalay,Karen Allen|Chris Mulkey|Ted Marcoux|Wil Horneff,5086909,3101
2956,2956,Ghost in the Shell: El alma de la máquina,2017,107,Action,PG,6.3,Rupert Sanders,Scarlett Johansson|Pilou Asbæk|Takeshi Kitano|Juliette Binoche,40563557,182859
2957,2957,Cazafantasmas,2016,116,Action,G,5.2,Paul Feig,Melissa McCarthy|Kristen Wiig|Kate McKinnon|Leslie Jones,128344089,191949
2958,2958,Los Cazafantasmas,1984,105,Action,G,7.8,Ivan Reitman,Bill Murray|Dan Aykroyd|Sigourney Weaver|Harold Ramis,238632124,331700
2959,2959,Los Cazafantasmas II,1989,108,Action,PG-13,6.6,Ivan Reitman,Bill Murray|Dan Aykroyd|Sigourney Weaver|Harold Ramis,112494738,171612
2960,2960,Los fantasmas de mis exnovias,2009,100,Comedy,PG,5.8,Mark Waters,Matthew McConaughey|Jennifer Garner|Emma Stone|Michael Douglas,55250026,79060
2961,2961,Fantasmas de Marte de John Carpenter,2001,98,Action,R,4.9,John Carpenter,Natasha Henstridge|Ice Cube|Pam Grier|Jason Statham,8434601,48953
2962,2962,Fantasmas del pasado,1996,130,Drama,PG-13,6.7,Rob Reiner,Alec Baldwin|James Woods|Whoopi Goldberg|Virginia Madsen,13052741,9642
2965,2965,Ghoulies,1984,81,Comedy,R,4.2,Luca Bercovici,Peter Liapis|Lisa Pelikan|Michael Des Barres|Jack Nance,3.50E+07,7586
2970,2970,Gigantic,2008,98,Comedy,R,6,Matt Aselton,Paul Dano|Zooey Deschanel|John Goodman|Edward Asner,102079,9221
2971,2971,Una relación peligrosa,2003,121,Comedy,PG-13,2.5,Martin Brest,Ben Affleck|Jennifer Lopez|Justin Bartha|Terry Camilleri,6068735,44946
2972,2972,Ginger & Rosa,2012,90,Drama,PG-13,6.3,Sally Potter,Elle Fanning|Alice Englert|Annette Bening|Oliver Platt,1005700,9814
2973,2973,Ginger Snaps,2000,108,Drama,R,6.8,John Fawcett,Emily Perkins|Katharine Isabelle|Kris Lemche|Mimi Rogers,2554,39155
2977,2977,Girl 6,1996,108,Comedy,R,5.1,Spike Lee,Theresa Randle|Isaiah Washington|Spike Lee|Jenifer Lewis,4903000,5594
2980,2980,Educando a mamá,2012,93,Comedy,PG-13,5.6,Patricia Riggen,Eva Mendes|Cierra Ramirez|Patricia Arquette|Matthew Modine,2594878,6278
2981,2981,La chica del puente,1999,90,Comedy,PG-13,7.6,Patrice Leconte,Vanessa Paradis|Daniel Auteuil|Frédéric Pfluger|Dimitris Georgalas,1708496,12597
2982,2982,La joven de la perla,2003,100,Biography,PG,6.9,Peter Webber,Scarlett Johansson|Colin Firth|Tom Wilkinson|Judy Parfitt,11634362,69046
2983,2983,Inocencia interrumpida,1999,127,Biography,R,7.3,James Mangold,Winona Ryder|Angelina Jolie|Clea DuVall|Brittany Murphy,28871190,151436
2984,2984,Girlfight,2000,110,Drama,PG-13,6.7,Karyn Kusama,Michelle Rodriguez|Douglas Santiago|Jaime Tirelli|Paul Calderon,1523941,9061
2987,2987,Las chicas sólo piensan en divertirse,1985,90,Comedy,PG-13,6,Alan Metter,Biff Yeager|Kristi Somers|Richard Blade|Ian Michael Giatti,6326051,9258
2988,2988,Give 'em Hell Harry!,1975,104,Biography,PG-13,7.2,Steve Binder,Peter H. Hunt|James Whitmore,1.10E+07,412
2989,2989,Gladiator (El gladiador),2000,155,Action,PG,8.5,Ridley Scott,Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed,187705427,1246244
2990,2990,Gladiator,1992,101,Action,R,6.5,Rowdy Herrington,James Marshall|Cuba Gooding Jr.|Brian Dennehy|Richard Lexsee,9223441,7655
2991,2991,Glass: A Portrait of Philip in Twelve Parts,2007,119,Documentary,PG-13,7.4,Scott Hicks,Philip Glass|Holly Critchlow|Chuck Close|JoAnne Akalaitis,20018,669
2992,2992,Al filo del abismo,1989,100,Action,PG,6.3,Graeme Clifford,Christian Slater|Steven Bauer|Richard Herd|Le Tuan,2777280,6598
2993,2993,Glengarry Glen Ross: Éxito a cualquier precio,1992,100,Crime,PG-13,7.8,James Foley,Al Pacino|Jack Lemmon|Alec Baldwin|Alan Arkin,10725228,90146
2994,2994,Glitter todo lo que brilla,2001,104,Drama,PG-13,2.2,Vondie Curtis-Hall,Mariah Carey|Eric Benét|Max Beesley|Da Brat,4273372,20955
2996,2996,Gloria,1999,108,Crime,PG-13,5.2,Sidney Lumet,Sharon Stone|Jean-Luke Figueroa|Jeremy Northam|Cathy Moriarty,4155234,5120
2998,2998,Tiempos de gloria,1989,122,Biography,PG,7.8,Edward Zwick,Matthew Broderick|Denzel Washington|Cary Elwes|Morgan Freeman,26830000,114774
3000,3000,Camino a la gloria,2006,118,Biography,PG,7.2,James Gartner,Josh Lucas|Derek Luke|Austin Nichols|Jon Voight,42643187,40570
3007,3007,GoBots: Battle of the Rock Lords,1986,75,Animation,PG-13,5.8,Don Lusk,Ray Patterson|Alan Zaslove|Margot Kidder|Roddy McDowall|Telly Savalas|Michael Bell,1338264,447
3009,3009,¡Goool!,2005,118,Drama,PG-13,6.7,Danny Cannon,Kuno Becker|Alessandro Nivola|Anna Friel|Leonardo Guerra,4280577,57846
3011,3011,Armados y cabreados,2011,105,Adventure,R,7.2,Bobcat Goldthwait,Joel Murray|Tara Lynne Barr|Mackenzie Brooke Smith|Melinda Page Hamilton,122029,66423
3013,3013,God Help the Girl,2014,112,Drama,PG,6.4,Stuart Murdoch,Emily Browning|Olly Alexander|Hannah Murray|Pierre Boulanger,101542,8153
3016,3016,Dioses y generales,2003,219,Biography,PG-13,6.4,Ron Maxwell,Stephen Lang|Robert Duvall|Jeff Daniels|Donzaleigh Abernathy,12870569,14705
3017,3017,Dioses y monstruos,1998,105,Biography,PG-13,7.4,Bill Condon,Ian McKellen|Brendan Fraser|Lynn Redgrave|Lolita Davidovich,6390032,27882
3018,3018,Dioses de Egipto,2016,127,Action,PG,5.4,Alex Proyas,Brenton Thwaites|Nikolaj Coster-Waldau|Gerard Butler|Chadwick Boseman,31153464,97824
3020,3020,Godzilla,2014,123,Action,PG,6.4,Gareth Edwards,Aaron Taylor-Johnson|Elizabeth Olsen|Bryan Cranston|Ken Watanabe,200676069,359947
3021,3021,Godzilla,1998,139,Action,PG-13,5.4,Roland Emmerich,Matthew Broderick|Jean Reno|Maria Pitillo|Hank Azaria,136314294,174816
3023,3023,Godzilla: Rey de los monstruos,2019,132,Action,PG,6.1,Michael Dougherty,Kyle Chandler|Vera Farmiga|Millie Bobby Brown|Ken Watanabe,110495191,97419
3025,3025,Sin respiro,1997,103,Comedy,R,5.6,Mark Pellington,Jeremy Davies|Ben Affleck|Amy Locane|Rose McGowan,86175,1761
3029,3029,Going Upriver: The Long War of John Kerry,2004,87,Documentary,PG-13,7.4,George Butler,John Kerry|David Alston|Dan Barbiero|Douglas Brinkley,613252,851
3030,3030,Assalto com Estilo,1979,97,Comedy,PG-13,7.1,Martin Brest,George Burns|Art Carney|Lee Strasberg|Charles Hallahan,26869286,2710
3031,3031,Salvando las distancias,2010,102,Comedy,PG,6.3,Nanette Burstein,Drew Barrymore|Justin Long|Ron Livingston|Charlie Day,17804299,54999
3034,3034,Los chicos de oro,2003,90,Comedy,PG-13,3,Gary Preisler,Will Friedle|Chris Owen|Louise Lasser|Renée Taylor,527000,2326
3035,3035,El secreto de la montaña,1995,94,Adventure,PG,6,Kevin James Dobson,Christina Ricci|Anna Chlumsky|Polly Draper|Brian Kerwin,6029091,3889
3037,3037,GoldenEye,1995,130,Action,PG-13,7.2,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen,106600000,226293
3040,3040,Sin rastro,2012,94,Action,PG,5.9,Heitor Dhalia,Amanda Seyfried|Jennifer Carpenter|Wes Bentley|Daniel Sunjata,11653123,39989
3042,3042,Adiós pequeña adiós,2007,114,Crime,R,7.6,Ben Affleck,Morgan Freeman|Ed Harris|Casey Affleck|Michelle Monaghan,20300218,237881
3043,3043,Dos chiflados en remojo,1997,94,Comedy,PG,4.9,Christopher Cain,Joe Pesci|Danny Glover|Rosanna Arquette|Lynn Whitfield,19736932,8947
3044,3044,60 segundos,2000,118,Action,PG,6.5,Dominic Sena,Nicolas Cage|Angelina Jolie|Giovanni Ribisi|T.J. Cross,101648571,249572
3045,3045,60 segundos,1974,105,Action,PG-13,6.5,H.B. Halicki,H.B. Halicki|Marion Busia|Jerry Daugirda|James McIntyre,4.00E+07,7833
3046,3046,Gonzo: Vida y hazañas del Dr. Hunter S. Thompson,2008,120,Documentary,R,7.7,Alex Gibney,Hunter S. Thompson|Johnny Depp|Joe Cairo|David Carlo,1250234,7214
3048,3048,Un perro de otro mundo,2003,87,Comedy,PG,5.1,John Hoffman,Liam Aiken|Matthew Broderick|Molly Shannon|Kevin Nealon,37566230,3907
3049,3049,Good Burger,1997,95,Comedy,PG,5.7,Brian Robbins,Kel Mitchell|Kenan Thompson|Sinbad|Abe Vigoda,23687907,24434
3050,3050,Good Deeds,2012,110,Comedy,PG-13,5.5,Tyler Perry,Tyler Perry|Gabrielle Union|Thandie Newton|Eddie Cibrian,35025791,7130
3051,3051,Los valientes visten de negro,1978,95,Action,PG,5.1,Ted Post,Chuck Norris|Anne Archer|James Franciscus|Lloyd Haynes,18328000,2566
3052,3052,Good Kill,2014,102,Drama,PG-13,6.4,Andrew Niccol,Ethan Hawke|January Jones|Zoë Kravitz|Fatima El Bahraouy,316842,21405
3053,3053,Novio por una noche,2007,96,Comedy,PG-13,5.6,Mark Helfrich,Dane Cook|Jessica Alba|Dan Fogler|Connor Price,34925283,82571
3054,3054,Good Morning Vietnam,1987,121,Biography,PG,7.3,Barry Levinson,Robin Williams|Forest Whitaker|Tung Thanh Tran|Chintara Sukapatana,123922370,118518
3055,3055,Buenas noches y buena suerte.,2005,93,Biography,PG-13,7.4,George Clooney,David Strathairn|George Clooney|Patricia Clarkson|Jeff Daniels,31501218,91236
3057,3057,El indomable Will Hunting,1997,126,Drama,G,8.3,Gus Van Sant,Robin Williams|Matt Damon|Ben Affleck|Stellan Skarsgård,138433435,789659
3059,3059,Goodbye Lover,1998,102,Comedy,R,5.6,Roland Joffé,Patricia Arquette|Dermot Mulroney|Mary-Louise Parker|Ellen DeGeneres,1923061,3450
3061,3061,Uno de los nuestros,1990,146,Biography,R,8.7,Martin Scorsese,Robert De Niro|Ray Liotta|Joe Pesci|Lorraine Bracco,46836394,933113
3063,3063,Goon,2011,92,Comedy,R,6.8,Michael Dowse,Seann William Scott|Jay Baruchel|Alison Pill|Eugene Levy,4168144,80636
3064,3064,Pesadillas,2015,103,Adventure,PG,6.3,Rob Letterman,Jack Black|Dylan Minnette|Odeya Rush|Ryan Lee,80080379,75100
3065,3065,Gordy,1995,90,Comedy,PG-13,3.8,Mark Lewis,Kristy Young|Doug Stone|James Donadio|Deborah Hobart,3992809,1805
3066,3066,Gorilas en la niebla,1988,129,Biography,PG,7,Michael Apted,Sigourney Weaver|Bryan Brown|Julie Harris|John Omirah Miluwi,24720479,22571
3067,3067,Gorky Park,1983,128,Crime,PG,6.8,Michael Apted,William Hurt|Lee Marvin|Brian Dennehy|Ian Bannen,15900000,11563
3068,3068,Gosford Park,2001,131,Comedy,PG,7.2,Robert Altman,Maggie Smith|Ryan Phillippe|Michael Gambon|Kristin Scott Thomas,41308615,75108
3069,3069,¡Te pillé! Gotcha!,1985,101,Action,PG,6.2,Jeff Kanew,Anthony Edwards|Linda Fiorentino|Jsu Garcia|Alex Rocco,10806919,6392
3070,3070,Gothic - Poetas e Fantasmas,1986,87,Horror,R,5.7,Ken Russell,Gabriel Byrne|Julian Sands|Natasha Richardson|Myriam Cyr,916172,6719
3071,3071,Gothika,2003,98,Horror,R,5.8,Mathieu Kassovitz,Halle Berry|Penélope Cruz|Robert Downey Jr.|Charles S. Dutton,59694580,102067
3074,3074,Los fantasmas de Goya,2006,113,Biography,PG,6.9,Milos Forman,Javier Bardem|Natalie Portman|Stellan Skarsgård|Randy Quaid,1000045,28332
3076,3076,La vida sin Grace,2007,85,Drama,PG,6.7,Jim Strouse,John Cusack|Emily Churchill|Rebecca Spence|Jennifer Tyler,50080,8853
3078,3078,Gracie - Sonho de Vencer,2007,95,Biography,PG,6.2,Davis Guggenheim,Carly Schroeder|Andrew Shue|Elisabeth Shue|Jesse Lee Soffer,2955039,3896
3080,3080,Graffiti Bridge,1990,90,Drama,PG-13,4.4,Prince,Prince|Morris Day|Ingrid Chavez|Jerome Benton,4562778,1665
3081,3081,Gran Torino,2008,116,Drama,PG,8.1,Clint Eastwood,Clint Eastwood|Bee Vang|Christopher Carley|Ahney Her,148095302,682288
3082,3082,Grand Canyon (El alma de la ciudad),1991,134,Crime,PG-13,6.9,Lawrence Kasdan,Danny Glover|Kevin Kline|Steve Martin|Mary McDonnell,33243020,14194
3086,3086,Play Boy: el rey del mando,2006,94,Comedy,R,7,Nicholaus Goossen,Allen Covert|Linda Cardellini|Shirley Jones|Peter Dante,6088249,74563
3087,3087,Grandview USA,1984,97,Drama,PG-13,5.4,Randal Kleiser,Jamie Lee Curtis|C. Thomas Howell|Patrick Swayze|Troy Donahue,4743119,1647
3090,3090,La fosa común,1990,89,Horror,PG-13,4.9,Ralph S. Singleton,David Andrews|Kelly Wolf|Stephen Macht|Andrew Divoff,11582891,9033
3091,3091,Gravity,2013,91,Drama,PG,7.7,Alfonso Cuarón,Sandra Bullock|George Clooney|Ed Harris|Orto Ignatiussen,274092705,725423
3093,3093,Los líos de Gray,2006,96,Comedy,PG,5.8,Sue Kramer,Heather Graham|Tom Cavanagh|Bridget Moynahan|Molly Shannon,59619,6617
3095,3095,Brilhantina,1978,110,Musical,G,7.2,Randal Kleiser,John Travolta|Olivia Newton-John|Stockard Channing|Jeff Conaway,188755690,217267
3096,3096,Grease 2,1982,115,Comedy,G,4.4,Patricia Birch,Michelle Pfeiffer|Maxwell Caulfield|Lorna Luft|Maureen Teefy,15171476,30943
3098,3098,Gran bola de fuego,1989,108,Biography,PG,6.2,Jim McBride,Dennis Quaid|Winona Ryder|John Doe|Stephen Tobolowsky,13741060,14645
3099,3099,Grandes esperanzas,1998,111,Drama,PG-13,6.9,Alfonso Cuarón,Ethan Hawke|Gwyneth Paltrow|Hank Azaria|Chris Cooper,26333044,48965
3100,3100,Grandes esperanzas,2012,128,Drama,PG,6.4,Mike Newell,Toby Irvine|Ralph Fiennes|Jason Flemyng|Sally Hawkins,258656,11600
3106,3106,Rebeldes do Bairro,2005,109,Crime,PG-13,7.5,Lexi Alexander,Elijah Wood|Charlie Hunnam|Claire Forlani|Marc Warren,344095,135381
3107,3107,Green Zone: Distrito protegido,2010,115,Action,PG,6.8,Paul Greengrass,Matt Damon|Jason Isaacs|Greg Kinnear|Igal Naor,35053660,123944
3108,3108,Greenberg,2010,107,Comedy,PG-13,6.1,Noah Baumbach,Ben Stiller|Greta Gerwig|Jennifer Jason Leigh|Rhys Ifans,4216789,34136
3110,3110,Gremlins,1984,106,Comedy,PG,7.3,Joe Dante,Zach Galligan|Phoebe Cates|Hoyt Axton|John Louie,148170000,182542
3111,3111,Gremlins 2: La nueva generación,1990,106,Comedy,PG-13,6.4,Joe Dante,Zach Galligan|Phoebe Cates|John Glover|Robert Prosky,41482207,86528
3112,3112,Grey Gardens,1975,95,Documentary,PG-13,7.6,Ellen Hovde,Albert Maysles|David Maysles|Muffie Meyer|Edith Bouvier Beale|Edith 'Little Edie' Bouvier Beale|Brooks Hyers,30966,11050
3114,3114,Búho Gris,1999,120,Biography,PG-13,6,Richard Attenborough,Pierce Brosnan|Stewart Bick|Vlasta Vrana|Annie Galipeau,632617,3237
3115,3115,Greystoke: La leyenda de Tarzán el rey de los monos,1984,135,Adventure,PG-13,6.4,Hugh Hudson,Christopher Lambert|Andie MacDowell|Ralph Richardson|Ian Holm,45900000,16821
3116,3116,La vida en juego,2006,125,Biography,PG-13,6.9,Phil Joanou,Dwayne Johnson|Xzibit|L. Scott Caldwell|Leon Rippy,38432823,44780
3117,3117,Gridlock'd,1997,91,Comedy,R,6.9,Vondie Curtis-Hall,Tupac Shakur|Tim Roth|Thandie Newton|Charles Fleischer,5479037,13929
3119,3119,Grind,2003,105,Adventure,PG-13,6,Casey La Scala,Adam Brody|Joey Kern|Mike Vogel|Vince Vieluf,5111630,11380
3120,3120,Grindhouse,2007,191,Action,R,7.5,Robert Rodriguez,Eli Roth|Quentin Tarantino|Edgar Wright|Rob Zombie|Kurt Russell|Rose McGowan|Danny Trejo|Zoë Bell,25031037,172339
3122,3122,Grizzly Man,2005,103,Documentary,PG-13,7.8,Werner Herzog,Timothy Treadwell|Amie Huguenard|Werner Herzog|Carol Dexter,3174085,49175
3123,3123,Con la música a tope,2000,86,Drama,PG-13,6.6,Greg Harrison,Chris Ferreira|Mackenzie Firgens|Elizabeth Sun|Steve Van Wormer,1114943,3887
3124,3124,Pobre o por vocación,1989,109,Drama,PG-13,6.2,Thom Eberhardt,Matthew Modine|Daphne Zuniga|Christine Lahti|Todd Field,11604598,3395
3125,3125,Un asesino algo especial,1997,107,Action,R,7.3,George Armitage,John Cusack|Minnie Driver|Dan Aykroyd|Joan Cusack,28014536,83716
3126,3126,Atrapado en el tiempo,1993,101,Comedy,PG-13,8,Harold Ramis,Bill Murray|Andie MacDowell|Chris Elliott|Stephen Tobolowsky,70906973,550100
3127,3127,Niños grandes,2010,102,Comedy,G,5.9,Dennis Dugan,Adam Sandler|Salma Hayek|Kevin James|Chris Rock,162001186,215150
3128,3128,Niños grandes 2,2013,101,Comedy,PG-13,5.4,Dennis Dugan,Adam Sandler|Kevin James|Chris Rock|David Spade,133668525,131708
3130,3130,Dos viejos gruñones,1993,103,Comedy,PG-13,7,Donald Petrie,Jack Lemmon|Walter Matthau|Ann-Margret|Burgess Meredith,70172621,40566
3131,3131,Guardianes de la galaxia,2014,121,Action,PG,8,James Gunn,Chris Pratt|Vin Diesel|Bradley Cooper|Zoe Saldana,333176600,980384
3132,3132,Tess y su guardaespaldas,1994,96,Comedy,PG-13,6.2,Hugh Wilson,Shirley MacLaine|Nicolas Cage|Austin Pendleton|Edward Albert,27053498,14811
3133,3133,Adivina quién,2005,105,Comedy,PG,5.9,Kevin Rodney Sullivan,Ashton Kutcher|Bernie Mac|Zoe Saldana|Judith Scott,68915888,38566
3135,3135,El abogado del diablo,1993,107,Crime,R,5.6,Sidney Lumet,Rebecca De Mornay|Don Johnson|Stephen Lang|Jack Warden,22886222,4417
3136,3136,Caza de brujas,1991,105,Drama,PG-13,6.6,Irwin Winkler,Robert De Niro|Annette Bening|George Wendt|Patricia Wettig,9480198,7285
3137,3137,Guinevere,1999,104,Drama,PG,6,Audrey Wells,Sarah Polley|Stephen Rea|Jean Smart|Gina Gershon,614202,2308
3138,3138,Los viajes de Gulliver,2010,85,Adventure,G,4.9,Rob Letterman,Jack Black|Emily Blunt|Jason Segel|Amanda Peet,42779261,62410
3140,3140,Gummo,1997,89,Comedy,R,6.7,Harmony Korine,Nick Sutton|Jacob Sewell|Lara Tosh|Jacob Reynolds,19820,29909
3141,3141,Blanco perfecto (Gun Shy),2000,101,Comedy,R,5.7,Eric Blakeney,Liam Neeson|Sandra Bullock|Oliver Platt|José Zúñiga,1631839,6686
3143,3143,Pisa a fondo,1986,112,Comedy,PG-13,6.3,Ron Howard,Michael Keaton|Gedde Watanabe|George Wendt|Mimi Rogers,36611610,11047
3144,3144,Gunmen,1993,94,Action,R,5.3,Deran Sarafian,Christopher Lambert|Mario Van Peebles|Denis Leary|Patrick Stewart,3411885,3113
3152,3152,Gymkata,1985,90,Action,PG-13,4.4,Robert Clouse,Kurt Thomas|Tetchie Agbayani|Richard Norton|Edward Michael Bell,5730596,3559
3156,3156,Hackers (Piratas informáticos),1995,107,Comedy,PG-13,6.2,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford|Matthew Lillard,7564000,62522
3158,3158,¡Ave César!,2016,106,Comedy,G,6.3,Ethan Coen,Joel Coen|Josh Brolin|George Clooney|Alden Ehrenreich|Ralph Fiennes,30080225,114234
3159,3159,Hair,1979,121,Comedy,PG,7.6,Milos Forman,John Savage|Treat Williams|Beverly D'Angelo|Annie Golden,15284463,32933
3160,3160,Hairspray,2007,117,Comedy,PG-13,6.6,Adam Shankman,John Travolta|Queen Latifah|Nikki Blonsky|Michelle Pfeiffer,118871849,114598
3161,3161,Hairspray fiebre de los 60,1988,92,Comedy,PG,6.9,John Waters,Sonny Bono|Ruth Brown|Divine|Debbie Harry,6671108,18804
3162,3162,Medio flipado,1998,82,Comedy,R,6.7,Tamra Davis,Dave Chappelle|Guillermo Díaz|Jim Breuer|Harland Williams,17278980,55370
3164,3164,La calle de la Media Luna,1986,90,Drama,PG-13,5.4,Bob Swaim,Sigourney Weaver|Michael Caine|Patrick Kavanagh|Faith Kent,1131399,2344
3165,3165,Half Nelson,2006,106,Drama,PG-13,7.2,Ryan Fleck,Ryan Gosling|Anthony Mackie|Shareeka Epps|Jeff Lima,2694973,81299
3166,3166,Al filo de la muerte,2002,98,Action,PG,4.6,Don Michael Paul,Morris Chestnut|Steven Seagal|Matt Battaglia|Ja Rule,15361537,13951
3168,3168,Carta blanca,2011,105,Comedy,PG-13,5.8,Bobby Farrelly,Peter Farrelly|Owen Wilson|Jason Sudeikis|Christina Applegate|Jenna Fischer,45060734,115276
3169,3169,Hallam Foe,2007,95,Drama,R,7,David Mackenzie,Jamie Bell|Sophia Myles|Ciarán Hinds|Claire Forlani,59255,11920
3170,3170,La noche de Halloween,2018,106,Horror,PG-13,6.6,David Gordon Green,Jamie Lee Curtis|Judy Greer|Andi Matichak|James Jude Courtney,159342015,102049
3171,3171,La noche de Halloween,1978,91,Horror,R,7.8,John Carpenter,Donald Pleasence|Jamie Lee Curtis|Tony Moran|Nancy Kyes,4.70E+07,213553
3172,3172,Halloween. El origen,2007,109,Horror,R,6.1,Rob Zombie,Scout Taylor-Compton|Malcolm McDowell|Tyler Mane|Brad Dourif,58272029,104668
3173,3173,Halloween 4: El regreso de Michael Myers,1988,88,Horror,R,5.9,Dwight H. Little,Donald Pleasence|Ellie Cornell|Danielle Harris|George P. Wilbur,17768757,40661
3174,3174,Halloween 5: La venganza de Michael Myers,1989,96,Horror,R,5.2,Dominique Othenin-Girard,Donald Pleasence|Danielle Harris|Ellie Cornell|Beau Starr,11642254,32121
3175,3175,Halloween H20: 20 años después,1998,86,Horror,R,5.7,Steve Miner,Jamie Lee Curtis|Josh Hartnett|Adam Arkin|Michelle Williams,55041738,62718
3176,3176,Halloween 2,2009,105,Horror,PG-13,4.9,Rob Zombie,Scout Taylor-Compton|Tyler Mane|Malcolm McDowell|Sheri Moon Zombie,33392973,45970
3177,3177,Halloween 2: Sanguinario,1981,92,Horror,R,6.5,Rick Rosenthal,Jamie Lee Curtis|Donald Pleasence|Charles Cyphers|Jeffrey Kramer,25533818,69264
3178,3178,Halloween III: El día de la bruja,1982,98,Horror,R,4.9,Tommy Lee Wallace,Tom Atkins|Stacey Nelkin|Dan O'Herlihy|Michael Currie,14400000,40072
3179,3179,Halloween: Resurrection,2002,94,Horror,R,4,Rick Rosenthal,Jamie Lee Curtis|Busta Rhymes|Brad Loree|Bianca Kajlich,30354442,35173
3182,3182,La colina de la hamburguesa,1987,110,Action,PG-13,6.7,John Irvin,Anthony Barrile|Michael Boatman|Don Cheadle|Michael Dolan,13839404,22078
3184,3184,Hamlet,1996,242,Drama,PG-13,7.7,Kenneth Branagh,Kenneth Branagh|Julie Christie|Derek Jacobi|Kate Winslet,4414535,34598
3185,3185,Hamlet (El honor de la venganza),1990,135,Drama,PG,6.7,Franco Zeffirelli,Mel Gibson|Glenn Close|Alan Bates|Paul Scofield,20710451,20383
3186,3186,Hamlet - Una historia eterna,2000,112,Drama,PG-13,5.9,Michael Almereyda,Ethan Hawke|Kyle MacLachlan|Diane Venora|Sam Shepard,1568749,8825
3188,3188,Hamlet 2,2008,92,Comedy,R,6.3,Andrew Fleming,Steve Coogan|Elisabeth Shue|Catherine Keener|Joseph Julian Soria,4881867,16224
3190,3190,Hancock,2008,92,Action,PG,6.4,Peter Berg,Will Smith|Charlize Theron|Jason Bateman|Jae Head,227946274,420870
3191,3191,Manos de Piedra,2016,111,Biography,PG-13,6.6,Jonathan Jakubowicz,Edgar Ramírez|Usher Raymond|Robert De Niro|Rubén Blades,4711736,13460
3192,3192,Colgadas,2000,94,Comedy,PG-13,4.9,Diane Keaton,Diane Keaton|Meg Ryan|Lisa Kudrow|Walter Matthau,36050230,11406
3193,3193,Hanky Panky: Una fuga muy chiflada,1982,110,Action,PG-13,5.7,Sidney Poitier,Gene Wilder|Gilda Radner|Kathleen Quinlan|Richard Widmark,9823934,2228
3194,3194,Hanna,2011,111,Action,PG,6.8,Joe Wright,Saoirse Ronan|Cate Blanchett|Eric Bana|Vicky Krieps,40259119,181404
3195,3195,Hanna Montana e Miley Cyrus: O Melhor dos Dois Mundos em Concerto,2008,74,Documentary,G,2.3,Bruce Hendricks,Miley Cyrus|The Jonas Brothers|Kenny Ortega|Billy Ray Cyrus,65280346,8385
3196,3196,Hannah Montana: La película,2009,102,Comedy,G,4.4,Peter Chelsom,Miley Cyrus|Emily Osment|Billy Ray Cyrus|Jason Earles,79566871,37555
3197,3197,Hannah y sus hermanas,1986,107,Comedy,PG,7.9,Woody Allen,Mia Farrow|Dianne Wiest|Michael Caine|Barbara Hershey,40084041,62895
3198,3198,Hannibal,2001,131,Crime,R,6.8,Ridley Scott,Anthony Hopkins|Julianne Moore|Gary Oldman|Ray Liotta,165092268,240882
3199,3199,Hannibal el origen del mal,2007,121,Adventure,PG-13,6.2,Peter Webber,Gaspard Ulliel|Rhys Ifans|Li Gong|Aaran Thomas,27670986,99155
3206,3206,Felicidade,1998,134,Comedy,R,7.7,Todd Solondz,Jane Adams|Jon Lovitz|Philip Seymour Hoffman|Dylan Baker,2807390,63452
3207,3207,Happy Accidents,2000,110,Comedy,R,7.2,Brad Anderson,Marisa Tomei|Vincent D'Onofrio|Holland Taylor|Mick Weber,688510,9187
3209,3209,Un final feliz,2005,128,Comedy,PG-13,6.3,Don Roos,Lisa Kudrow|Steve Coogan|Maggie Gyllenhaal|Jesse Bradford,1311633,8731
